SampleID,CropTrt,Day,Rep,Stuffed_g_fresh,Stuffed_g_dry,Stuffed_g_N,Stuffed_g_C,N_pct,C_pct,aver_N,aver_C,Ash_Pct,Stuffed_g_Ash,Final_dry_wash,Final_g_dry
3SS-1SH-14,3SS-1SH,14,4,8.35,3.28,0.052152,1.307408,1.57,38.77,1.59,39.86,0.03,3.279016,6,5.9982
3SS-1SH-28,3SS-1SH,28,1,8.35,3.28,0.052152,1.307408,2.08,39.74,1.59,39.86,0.05,3.27836,3,2.9985
3SS-1SH-28,3SS-1SH,28,2,8.35,3.28,0.052152,1.307408,1.37,40.03,1.59,39.86,0.05,3.27836,4,3.998
3SS-1SH-28,3SS-1SH,28,3,8.35,3.28,0.052152,1.307408,1.46,40.66,1.59,39.86,0.04,3.278688,3,2.9988
3SS-1SH-28,3SS-1SH,28,4,8.35,3.28,0.052152,1.307408,1.67,40.99,1.59,39.86,0.03,3.279016,3,2.9991
3SS-1SH-42,3SS-1SH,42,1,8.35,3.28,0.052152,1.307408,0.95,41.81,1.59,39.86,0.03,3.279016,3,2.9991
3SS-1SH-42,3SS-1SH,42,2,8.35,3.28,0.052152,1.307408,1.37,41.89,1.59,39.86,0.04,3.278688,3,2.9988
3SS-1SH-42,3SS-1SH,42,3,8.35,3.28,0.052152,1.307408,1.01,41.68,1.59,39.86,0.04,3.278688,3,2.9988
3SS-1SH-42,3SS-1SH,42,4,8.35,3.28,0.052152,1.307408,1.41,41.48,1.59,39.86,0.02,3.279344,3,2.9994
3SS-1SH-56,3SS-1SH,56,1,8.35,3.28,0.052152,1.307408,2.16,39.67,1.59,39.86,0.05,3.27836,2,1.999
3SS-1SH-56,3SS-1SH,56,2,8.35,3.28,0.052152,1.307408,1.88,40.74,1.59,39.86,0.06,3.278032,3,2.9982
3SS-1SH-56,3SS-1SH,56,3,8.35,3.28,0.052152,1.307408,2.11,40.95,1.59,39.86,0.04,3.278688,2,1.9992
3SS-1SH-56,3SS-1SH,56,4,8.35,3.28,0.052152,1.307408,0.98,42.7,1.59,39.86,0.03,3.279016,3,2.9991
2SS-2SH-0,2SS-2SH,0,1,8.1,3.5,0.0504,1.37795,1.66,39.28,1.44,39.37,0.03,3.49895,25,24.9925
2SS-2SH-0,2SS-2SH,0,2,8.1,3.5,0.0504,1.37795,1.76,39.38,1.44,39.37,0.01,3.49965,25,24.9975
2SS-2SH-0,2SS-2SH,0,3,8.1,3.5,0.0504,1.37795,1.68,39.62,1.44,39.37,0.05,3.49825,25,24.9875
2SS-2SH-0,2SS-2SH,0,4,8.1,3.5,0.0504,1.37795,1.88,39.38,1.44,39.37,0.02,3.4993,25,24.995
2SS-2SH-4,2SS-2SH,4,1,8.1,3.5,0.0504,1.37795,1.42,38.65,1.44,39.37,0.01,3.49965,12,11.9988
2SS-2SH-4,2SS-2SH,4,2,8.1,3.5,0.0504,1.37795,1.53,38.69,1.44,39.37,0.01,3.49965,11,10.9989
2SS-2SH-4,2SS-2SH,4,3,8.1,3.5,0.0504,1.37795,1.73,36.22,1.44,39.37,0.03,3.49895,11,10.9967
